Title,Very positive,Positive,Neutral,Negative,Very negative,lyricscsv,sentimentcsv
Delilan,0,9,6,10,0,../lyrics/Innuendo/Delilan.txt,../lyrics/Innuendo/Delilan_sentiment.txt
The Hitman,0,5,21,13,0,../lyrics/Innuendo/The Hitman.txt,../lyrics/Innuendo/The Hitman_sentiment.txt
These are the Days of Our Lives,0,10,12,7,0,../lyrics/Innuendo/These are the Days of Our Lives.txt,../lyrics/Innuendo/These are the Days of Our Lives_sentiment.txt
All God's People,0,11,16,3,0,../lyrics/Innuendo/All God's People.txt,../lyrics/Innuendo/All God's People_sentiment.txt
Innuendo,0,9,19,9,0,../lyrics/Innuendo/Innuendo.txt,../lyrics/Innuendo/Innuendo_sentiment.txt
The Show Must Go On,1,6,21,8,0,../lyrics/Innuendo/The Show Must Go On.txt,../lyrics/Innuendo/The Show Must Go On_sentiment.txt
Live with You,0,7,12,32,0,../lyrics/Innuendo/Live with You.txt,../lyrics/Innuendo/Live with You_sentiment.txt
I'm Going Slightly Mad,0,3,15,21,0,../lyrics/Innuendo/I'm Going Slightly Mad.txt,../lyrics/Innuendo/I'm Going Slightly Mad_sentiment.txt
Ride the Wild Wind,0,14,3,11,0,../lyrics/Innuendo/Ride the Wild Wind.txt,../lyrics/Innuendo/Ride the Wild Wind_sentiment.txt
Headlong,0,10,12,15,0,../lyrics/Innuendo/Headlong.txt,../lyrics/Innuendo/Headlong_sentiment.txt
Bijou,0,2,4,0,0,../lyrics/Innuendo/Bijou.txt,../lyrics/Innuendo/Bijou_sentiment.txt
Try So Hard,0,9,13,15,0,../lyrics/Innuendo/Try So Hard.txt,../lyrics/Innuendo/Try So Hard_sentiment.txt
