Title,Very positive,Positive,Neutral,Negative,Very negative,lyricscsv,sentimentcsv
In Only Seven Days,0,1,10,10,0,../lyrics/Jazz/In Only Seven Days.txt,../lyrics/Jazz/In Only Seven Days_sentiment.txt
If You Can't Beat Them,0,4,13,10,0,../lyrics/Jazz/If You Can't Beat Them.txt,../lyrics/Jazz/If You Can't Beat Them_sentiment.txt
Leaving Home Ain't Easy,0,6,15,14,0,../lyrics/Jazz/Leaving Home Ain't Easy.txt,../lyrics/Jazz/Leaving Home Ain't Easy_sentiment.txt
Dead on Time,0,1,5,32,0,../lyrics/Jazz/Dead on Time.txt,../lyrics/Jazz/Dead on Time_sentiment.txt
Dreamer's Ball,0,7,19,6,0,../lyrics/Jazz/Dreamer's Ball.txt,../lyrics/Jazz/Dreamer's Ball_sentiment.txt
Jealousy,0,5,8,16,0,../lyrics/Jazz/Jealousy.txt,../lyrics/Jazz/Jealousy_sentiment.txt
Don't Stop Me Now,0,9,26,31,0,../lyrics/Jazz/Don't Stop Me Now.txt,../lyrics/Jazz/Don't Stop Me Now_sentiment.txt
Fat Bottomed Girls,0,12,16,14,0,../lyrics/Jazz/Fat Bottomed Girls.txt,../lyrics/Jazz/Fat Bottomed Girls_sentiment.txt
Mustapha,0,3,20,3,0,../lyrics/Jazz/Mustapha.txt,../lyrics/Jazz/Mustapha_sentiment.txt
Bicycle Race,0,17,21,11,0,../lyrics/Jazz/Bicycle Race.txt,../lyrics/Jazz/Bicycle Race_sentiment.txt
Let Me Entertain You,0,23,21,1,0,../lyrics/Jazz/Let Me Entertain You.txt,../lyrics/Jazz/Let Me Entertain You_sentiment.txt
Fun It,0,9,5,13,0,../lyrics/Jazz/Fun It.txt,../lyrics/Jazz/Fun It_sentiment.txt
More of That Jazz,0,3,14,10,0,../lyrics/Jazz/More of That Jazz.txt,../lyrics/Jazz/More of That Jazz_sentiment.txt
