Flick of the Wrist,0,8,13,19,0,../lyrics/Sheer Heart Attack/Flick of the Wrist.txt,../lyrics/Sheer Heart Attack/Flick of the Wrist_sentiment.txt
Big Bad Caused a Mighty Fine Sensation,0,1,3,5,0,../lyrics/Sheer Heart Attack/Big Bad Caused a Mighty Fine Sensation.txt,../lyrics/Sheer Heart Attack/Big Bad Caused a Mighty Fine Sensation_sentiment.txt
Tenement Funster,0,5,4,5,0,../lyrics/Sheer Heart Attack/Tenement Funster.txt,../lyrics/Sheer Heart Attack/Tenement Funster_sentiment.txt
She Makes Me,0,14,5,3,0,../lyrics/Sheer Heart Attack/She Makes Me.txt,../lyrics/Sheer Heart Attack/She Makes Me_sentiment.txt
Misfire,0,1,10,5,0,../lyrics/Sheer Heart Attack/Misfire.txt,../lyrics/Sheer Heart Attack/Misfire_sentiment.txt
Brighton Rock,0,4,4,11,0,../lyrics/Sheer Heart Attack/Brighton Rock.txt,../lyrics/Sheer Heart Attack/Brighton Rock_sentiment.txt
In the Lap of the Gods (Revisited),0,4,6,13,0,../lyrics/Sheer Heart Attack/In the Lap of the Gods (Revisited).txt,../lyrics/Sheer Heart Attack/In the Lap of the Gods (Revisited)_sentiment.txt
Killer Queen,0,13,22,15,0,../lyrics/Sheer Heart Attack/Killer Queen.txt,../lyrics/Sheer Heart Attack/Killer Queen_sentiment.txt
Bet Your Bottom Dollar Bill You're A Playboy,0,12,9,9,2,../lyrics/Sheer Heart Attack/Bet Your Bottom Dollar Bill You're A Playboy.txt,../lyrics/Sheer Heart Attack/Bet Your Bottom Dollar Bill You're A Playboy_sentiment.txt
Lily of the Valley,0,0,11,7,0,../lyrics/Sheer Heart Attack/Lily of the Valley.txt,../lyrics/Sheer Heart Attack/Lily of the Valley_sentiment.txt
Now I'm Here,0,0,2,1,0,../lyrics/Sheer Heart Attack/Now I'm Here.txt,../lyrics/Sheer Heart Attack/Now I'm Here_sentiment.txt
Dear Friends,0,2,4,2,0,../lyrics/Sheer Heart Attack/Dear Friends.txt,../lyrics/Sheer Heart Attack/Dear Friends_sentiment.txt
Stone Cold Crazy,0,1,8,17,0,../lyrics/Sheer Heart Attack/Stone Cold Crazy.txt,../lyrics/Sheer Heart Attack/Stone Cold Crazy_sentiment.txt
Bring Back that Leroy Brown,0,3,1,0,0,../lyrics/Sheer Heart Attack/Bring Back that Leroy Brown.txt,../lyrics/Sheer Heart Attack/Bring Back that Leroy Brown_sentiment.txt
In the Lap of the Gods,0,5,5,6,0,../lyrics/Sheer Heart Attack/In the Lap of the Gods.txt,../lyrics/Sheer Heart Attack/In the Lap of the Gods_sentiment.txt
